干员名字,稀有度,分支,描述,再部署时间,部署费用,阻挡数,攻击间隔,生命上限,攻击,防御,法术抗性,攻击范围,上线时间（国服）
苏苏洛,6,收割者,无法被友方角色治疗，攻击造成群体伤害，每攻击到一个敌人回复自身50生命，最大生效数等于阻挡数,70s,18→19→21,1→2→2,1.3s,"['882', '1225', '1612', '2150', '0']","['275', '393', '511', '616', '30']","['194', '266', '342', '403', '30']","['0', '0', '0', '0', '0']","[4, 4, 4]",2019年8月27日 16:00
杰克,4,炮手,攻击造成群体物理伤害,70s,24→26→28,1,2.8s,"['770', '963', '1204', '1505', '0']","['377', '539', '674', '865', '85']","['59', '77', '98', '116', '0']","['0', '0', '0', '0', '0']","[12, 13, 15]",2019年9月10日 16:00
蓝毒,5,医师,恢复友方单位生命,80s,19→21,1,2.85s,"['839', '1183', '1426', '1585', '200']","['163', '268', '383', '479', '50']","['58', '84', '106', '133', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2019年9月10日 16:00
守林人,6,行医,恢复友方单位生命，并回复相当于攻击力50%的元素损伤术语: 元素损伤包括神经损伤、侵蚀损伤、灼燃损伤、凋亡损伤※最大元素值默认为1000，受到附加元素损伤的伤害时先结算伤害后结算元素损伤（可以回复未受伤友方单位的元素损伤术语: 元素损伤包括神经损伤、侵蚀损伤、灼燃损伤、凋亡损伤※最大元素值默认为1000，受到附加元素损伤的伤害时先结算伤害后结算元素损伤）,70s,12→14,1,2.85s,"['623', '820', '977', '1137', '100']","['136', '223', '311', '389', '35']","['44', '64', '80', '101', '0']","['10', '10', '10', '10', '0']","[12, 18, 18]",2019年9月10日 16:00
阿消,4,情报官,再部署时间减少，可使用远程攻击,35s,8→10,1,1.0s,"['857', '1225', '1571', '1917', '0']","['236', '348', '459', '560', '30']","['94', '157', '225', '267', '30']","['0', '0', '0', '0', '0']","[3, 3, 3]",2019年10月1日 04:00
芙蓉,4,处决者,再部署时间大幅度减少,18s,7→9,1,0.93s,"['783', '1044', '1306', '1675', '350']","['202', '298', '409', '525', '0']","['140', '200', '261', '311', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年10月15日 16:00
预备干员-重装,5,召唤师,攻击造成法术伤害可以使用召唤物协助作战,70s,9→11,1,1.6s,"['496', '671', '872', '1105', '200']","['194', '278', '371', '432', '0']","['67', '96', '128', '155', '35']","['15', '15', '20', '20', '0']","[9, 10, 10]",2019年10月15日 16:00
酸糖,5,速射手,优先攻击空中单位,70s,10→12,1,1.0s,"['604', '864', '1108', '1320', '0']","['163', '272', '389', '475', '65']","['54', '91', '130', '154', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2019年10月15日 16:00
风丸,6,攻城手,优先攻击重量最重的敌人,70s,22→24,1,2.4s,"['800', '1067', '1351', '1755', '0']","['492', '684', '856', '1032', '110']","['60', '80', '100', '122', '0']","['0', '0', '0', '0', '0']","[10, 14, 14]",2019年10月15日 16:00
泥岩,4,尖兵,能够阻挡两个敌人,70s,8→10,2,1.05s,"['652', '932', '1165', '——', '0']","['146', '216', '309', '——', '0']","['149', '214', '278', '——', '0']","['0', '0', '0', '——', '0']","[2, 2]",2019年11月1日 04:00
Sharp,5,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标,70s,19→21,0,3.5s,"['760', '1028', '1336', '1758', '0']","['372', '532', '692', '865', '110']","['155', '229', '302', '356', '0']","['10', '10', '20', '30', '0']","[10, 10, 10]",2019年11月1日 04:00
温蒂,4,中坚术师,攻击造成法术伤害,70s,18→20,1,1.6s,"['699', '958', '1198', '1480', '200']","['276', '390', '514', '612', '70']","['48', '81', '110', '121', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2019年11月19日 16:00
塞雷娅,5,无畏者,能够阻挡一个敌人,60s,15→17,1,1.5s,"['1420', '2029', '2780', '3565', '0']","['436', '642', '813', '957', '0']","['117', '168', '219', '265', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年11月19日 16:00
杰西卡,5,陷阱师,可以使用陷阱来协助作战，但陷阱无法放置于敌人已在的格子中,80s,11→13,1,0.85s,"['674', '899', '1139', '1442', '200']","['232', '319', '420', '513', '40']","['68', '104', '137', '166', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2019年11月19日 16:00
送葬人,6,医师,恢复友方单位生命,70s,14→16,1,2.85s,"['603', '863', '1080', '——', '0']","['145', '239', '338', '——', '0']","['57', '76', '102', '——', '0']","['0', '0', '0', '——', '0']","[10, 12]",2019年11月19日 16:00
达格达,5,链术师,精英阶段0,70s,28→31,1,2.3s,"['542', '775', '1007', '1326', '0']","['241', '345', '449', '542', '70']","['39', '66', '91', '108', '0']","['20', '20', '20', '20', '0']","[9, 10, 10]",2019年12月10日 16:00
雪雉,5,扩散术师,攻击造成群体法术伤害,70s,30→33,1,2.9s,"['736', '1023', '1279', '1640', '0']","['357', '503', '646', '770', '90']","['49', '75', '103', '123', '0']","['10', '10', '15', '20', '0']","[7, 9, 9]",2019年12月10日 16:00
凛冬,4,推击手,同时攻击阻挡的所有敌人可以放置于远程位,70s,17→19,2,1.2s,"['824', '1099', '1392', '1785', '200']","['252', '351', '469', '580', '35']","['151', '229', '302', '365', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2019年12月24日 16:00
预备干员-术师,5,中坚术师,攻击造成法术伤害,80s,20→22,1,1.6s,"['837', '1197', '1555', '1920', '200']","['271', '383', '504', '600', '35']","['45', '76', '106', '119', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2019年12月24日 16:00
风笛,6,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%,70s,12→14,1,1.0s,"['726', '1038', '1332', '1625', '0']","['187', '275', '362', '442', '60']","['46', '78', '112', '133', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2019年12月24日 16:00
掠风,5,守护者,技能可以治疗友方单位,70s,16→18→20,2→3→3,1.2s,"['1059', '1432', '1836', '2550', '400']","['179', '257', '348', '435', '0']","['234', '345', '460', '562', '0']","['10', '10', '10', '10', '0']","[1, 1, 1]",2020年1月9日 04:00
微风,5,解放者,通常不攻击且阻挡数为0，技能未开启时40秒内攻击力逐渐提升至最高+200%且技能结束时重置攻击力,70s,10→12,2→2→3,1.2s,"['1945', '2560', '3241', '3906', '360']","['161', '231', '301', '355', '30']","['239', '332', '426', '502', '0']","['15', '15', '15', '15', '0']","[4, 4, 4]",2020年1月16日 16:00
异客,6,斗士,能够阻挡一个敌人,70s,9→11,1,0.78s,"['1246', '1684', '2160', '2635', '0']","['242', '357', '477', '590', '60']","['156', '224', '304', '363', '30']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年1月16日 16:00
阿米娅(近卫),6,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）,80s,13→15,1,1.6s,"['737', '1054', '1445', '1927', '350']","['185', '290', '387', '467', '55']","['73', '110', '147', '184', '0']","['15', '15', '20', '25', '0']","[12, 16, 16]",2020年1月16日 16:00
暗索,5,尖兵,能够阻挡两个敌人,70s,11→13,2,1.05s,"['812', '1128', '1505', '2150', '0']","['183', '274', '376', '470', '0']","['147', '211', '290', '350', '70']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年2月25日 16:00
流星,6,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%,80s,16→18,2,1.05s,"['781', '1071', '1391', '1932', '0']","['283', '405', '541', '645', '30']","['197', '278', '352', '420', '40']","['0', '0', '0', '0', '0']","[3, 3, 3]",2020年2月25日 16:00
泡普卡,4,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%,80s,17→19,1,2.85s,"['748', '985', '1173', '1365', '150']","['159', '261', '363', '454', '35']","['51', '75', '94', '118', '0']","['10', '10', '10', '10', '0']","[12, 18, 18]",2020年3月3日 04:00
缠丸,4,尖兵,能够阻挡两个敌人,70s,9→11,2,1.05s,"['742', '1060', '1325', '——', '0']","['157', '235', '325', '——', '0']","['130', '187', '260', '——', '50']","['0', '0', '0', '——', '0']","[2, 2]",2020年3月17日 16:00
伊内丝,5,扩散术师,攻击造成群体法术伤害,70s,30→33,1,2.9s,"['727', '1010', '1263', '1620', '0']","['364', '513', '658', '784', '90']","['48', '74', '102', '122', '0']","['10', '10', '15', '20', '0']","[7, 9, 9]",2020年3月17日 16:00
慑砂,5,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）,80s,21→23,1,1.3s,"['573', '819', '1064', '1400', '100']","['148', '209', '268', '320', '40']","['47', '72', '100', '120', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2020年3月17日 16:00
黑键,6,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%,70s,14→16,2,1.05s,"['774', '1061', '1378', '1914', '0']","['289', '413', '551', '656', '40']","['193', '273', '346', '413', '30']","['0', '0', '0', '0', '0']","[3, 3, 3]",2020年3月17日 16:00
灰毫,4,炮手,攻击造成群体物理伤害,70s,23→25→27,1,2.8s,"['834', '1043', '1304', '1630', '0']","['347', '496', '621', '797', '70']","['51', '66', '84', '100', '0']","['0', '0', '0', '0', '0']","[12, 13, 15]",2020年4月1日 16:00
和弦,4,攻城手,优先攻击重量最重的敌人,70s,22→24,1,2.4s,"['775', '1034', '1310', '1702', '0']","['498', '693', '867', '1045', '110']","['54', '73', '92', '113', '0']","['0', '0', '0', '0', '0']","[10, 14, 14]",2020年4月21日 16:00
燧石,5,驭法铁卫,技能开启时普通攻击会造成法术伤害,70s,20→22→24,3,1.6s,"['1201', '1623', '2165', '3007', '0']","['244', '349', '466', '583', '65']","['220', '324', '438', '548', '0']","['5', '5', '10', '15', '0']","[1, 1, 1]",2020年4月21日 16:00
谜图,5,傀儡师,受到致命伤时不撤退，切换成<替身>作战（替身阻挡数为0），持续20s后自身再次替换<替身>,70s,13→15,2,1.2s,"['1109', '1479', '1873', '2372', '0']","['313', '430', '567', '692', '80']","['131', '202', '263', '318', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年4月21日 16:00
明椒,6,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%,70s,11→13,1,1.0s,"['702', '1003', '1286', '1569', '0']","['171', '252', '332', '405', '50']","['43', '73', '105', '125', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2020年4月21日 16:00
灰喉,1,重射手,高精度的近距离射击,70s,15→17→19,1,1.6s,"['716', '995', '1276', '1680', '0']","['332', '456', '601', '781', '90']","['81', '117', '156', '215', '0']","['0', '0', '0', '0', '0']","[7, 9, 9]",2020年5月1日 16:00
安德切尔,5,铁卫,能够阻挡三个敌人,70s,17→19→21,3,1.2s,"['1273', '1698', '2264', '3235', '385']","['198', '254', '318', '375', '0']","['241', '361', '489', '670', '0']","['5', '5', '5', '5', '0']","[1, 1, 1]",2020年5月1日 16:00
星源,6,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿术语: 停顿移动速度降低80%,70s,13→15,1,1.9s,"['606', '820', '1038', '1298', '0']","['216', '318', '425', '513', '65']","['46', '66', '85', '102', '0']","['10', '10', '15', '20', '0']","[12, 12, 12]",2020年5月1日 16:00
月见夜,6,扩散术师,攻击造成群体法术伤害,60s,29→32,1,2.9s,"['743', '1032', '1290', '1655', '0']","['390', '550', '706', '821', '0']","['51', '78', '107', '128', '0']","['10', '10', '15', '20', '0']","[7, 9, 9]",2020年5月1日 16:00
星极,5,剑豪,普通攻击连续造成两次伤害,70s,19→21→23,2,1.3s,"['1229', '1684', '2188', '2880', '0']","['249', '361', '469', '610', '50']","['154', '221', '288', '352', '50']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年6月2日 16:00
寒檀,5,不屈者,无法被友方角色治疗,70s,31→33→35,2→3→3,1.6s,"['1574', '2072', '2692', '3688', '400']","['344', '479', '639', '820', '50']","['222', '337', '450', '585', '0']","['10', '10', '10', '10', '0']","[1, 1, 1]",2020年6月2日 16:00
斑点,4,铁卫,能够阻挡三个敌人,70s,16→18,3,1.2s,"['1197', '1597', '2130', '——', '300']","['190', '244', '305', '——', '0']","['229', '342', '475', '——', '0']","['0', '0', '0', '——', '0']","[1, 1]",2020年6月18日 16:00
玫兰莎,5,链术师,精英阶段0,70s,29→32,1,2.3s,"['590', '843', '1096', '1443', '0']","['295', '411', '527', '635', '75']","['47', '72', '99', '119', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2020年6月18日 16:00
德克萨斯,5,咒愈师,攻击造成法术伤害，攻击敌人时为攻击范围内一名友方干员治疗相当于50%伤害的生命值,70s,15→17,1,1.6s,"['868', '1143', '1361', '1583', '0']","['192', '316', '440', '550', '50']","['36', '53', '67', '84', '30']","['10', '10', '15', '20', '0']","[10, 12, 12]",2020年6月18日 16:00
号角,6,要塞,不阻挡敌人时优先远程群体物理攻击,70s,24→26→28,2→3→3,2.8s,"['1237', '1650', '2200', '3067', '300']","['483', '620', '776', '936', '70']","['223', '334', '452', '620', '0']","['0', '0', '0', '0', '0']","[7, 7, 8]",2020年6月18日 16:00
子月,4,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿术语: 停顿移动速度降低80%,70s,14→16,1,1.9s,"['629', '863', '1108', '1385', '0']","['228', '336', '449', '542', '75']","['53', '77', '100', '120', '0']","['15', '15', '20', '25', '0']","[12, 12, 12]",2020年7月9日 16:00
THRM-EX,5,中坚术师,攻击造成法术伤害,70s,18→20,1,1.6s,"['658', '941', '1223', '1510', '0']","['281', '396', '522', '622', '70']","['45', '77', '107', '120', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2020年7月9日 16:00
耶拉,5,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）,70s,19→21,1,1.3s,"['600', '858', '1115', '1468', '0']","['148', '209', '268', '320', '60']","['49', '75', '103', '123', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2020年7月9日 16:00
阿,6,钩索师,技能可以使敌人产生位移可以放置于远程位,80s,14→16,2,1.8s,"['999', '1350', '1754', '2309', '0']","['344', '492', '640', '801', '50']","['144', '213', '281', '331', '50']","['0', '0', '0', '0', '0']","[3, 4, 4]",2020年7月9日 16:00
菲亚梅塔,5,剑豪,普通攻击连续造成两次伤害,70s,19→21→23,2,1.3s,"['1236', '1694', '2201', '2935', '0']","['249', '367', '484', '621', '80']","['151', '214', '282', '349', '20']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年7月28日 16:00
调香师,5,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿术语: 停顿移动速度降低80%,70s,13→15,1,1.9s,"['592', '800', '1013', '1267', '300']","['213', '314', '419', '505', '35']","['45', '65', '84', '100', '0']","['10', '10', '15', '20', '0']","[12, 12, 12]",2020年7月28日 16:00
星熊,5,怪杰,自身生命会不断流失(每秒流失3%生命值),70s,11→13,1,1.3s,"['865', '1236', '1627', '2034', '300']","['247', '413', '583', '703', '50']","['58', '90', '121', '152', '0']","['10', '10', '10', '10', '0']","[10, 12, 12]",2020年7月28日 16:00
山,4,巫役,攻击造成法术伤害，可以造成元素损伤,70s,13→15,1,1.6s,"['429', '632', '855', '1097', '250']","['202', '289', '371', '447', '30']","['46', '67', '88', '101', '0']","['5', '5', '10', '15', '0']","[12, 12, 12]",2020年8月11日 16:00
麦哲伦,5,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,18→20,2,1.3s,"['1096', '1567', '2063', '2612', '0']","['296', '442', '575', '711', '30']","['191', '263', '333', '402', '70']","['5', '5', '10', '10', '0']","[7, 8, 8]",2020年8月11日 16:00
红,6,术战者,攻击造成法术伤害,70s,19→21,1,1.25s,"['1330', '1750', '2216', '2916', '0']","['288', '418', '544', '672', '100']","['186', '267', '343', '414', '0']","['10', '10', '10', '15', '0']","[2, 2, 2]",2020年8月11日 16:00
白雪,3,速射手,优先攻击空中单位,70s,12→14,1,1.0s,"['718', '1026', '1351', '1689', '0']","['181', '302', '432', '534', '90']","['60', '100', '143', '169', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2020年8月25日 16:00
慕斯,3,医师,恢复友方单位生命,70s,17→19,1,2.85s,"['845', '1191', '1435', '1595', '0']","['166', '273', '385', '482', '75']","['62', '90', '113', '142', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2020年8月25日 16:00
见行者,3,推击手,同时攻击阻挡的所有敌人可以放置于远程位,80s,20→22,2,1.2s,"['825', '1147', '1510', '1937', '350']","['285', '396', '528', '653', '0']","['158', '240', '316', '381', '35']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年8月25日 16:00
清道夫,3,执旗手,技能发动期间阻挡数变为0,70s,8→10,1,1.3s,"['658', '902', '1142', '1565', '0']","['231', '331', '436', '520', '0']","['138', '193', '255', '300', '50']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年8月25日 16:00
海蒂,5,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,17→19,2,1.3s,"['987', '1410', '1856', '2350', '0']","['285', '426', '554', '685', '75']","['173', '238', '302', '365', '0']","['10', '10', '10', '15', '0']","[7, 8, 8]",2020年8月25日 16:00
史尔特尔,5,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用,70s,9→11,1,1.0s,"['724', '1006', '1291', '1845', '0']","['248', '355', '468', '558', '60']","['152', '218', '287', '351', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年8月25日 16:00
安哲拉,5,神射手,优先攻击攻击范围内防御力最低的敌方单位,70s,18→20,1,2.7s,"['785', '1020', '1276', '1595', '0']","['437', '608', '801', '977', '75']","['60', '80', '100', '122', '0']","['0', '0', '0', '0', '0']","[12, 19, 19]",2020年8月25日 16:00
卡涅利安,5,吟游者,不攻击，持续恢复范围内所有友军生命（每秒相当于自身攻击力10%的生命），自身不受鼓舞术语: 鼓舞获得额外附加的基础属性加成（同类属性取比例最高）※给予他人鼓舞效果的角色会将自身的鼓舞BUFF重写后适用于受益者（先最终乘算计算加成数值后，重写为最终加算，再将鼓舞赋予受益者）影响,70s,5→7,1,1.3s,"['519', '742', '1017', '1356', '0']","['133', '208', '278', '335', '50']","['95', '142', '190', '238', '20']","['0', '0', '0', '0', '0']","[9, 13, 13]",2020年8月25日 16:00
百炼嘉维尔,4,铁卫,能够阻挡三个敌人,80s,20→22→24,3,1.2s,"['1475', '1941', '2522', '3456', '0']","['198', '254', '318', '375', '0']","['245', '367', '504', '701', '80']","['0', '0', '0', '0', '0']","[1, 1, 1]",2020年8月25日 16:00
艾丽妮,5,决战者,只有阻挡敌人时才能够回复技力,70s,28→30→32,1,1.6s,"['1696', '2356', '3100', '4027', '0']","['413', '582', '747', '901', '55']","['257', '378', '512', '640', '55']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年8月25日 16:00
棘刺,5,陷阱师,可以使用陷阱来协助作战，但陷阱无法放置于敌人已在的格子中,70s,9→11,1,0.85s,"['635', '847', '1073', '1359', '200']","['240', '329', '433', '529', '40']","['64', '98', '130', '157', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2020年8月25日 16:00
杜林,6,攻城手,优先攻击重量最重的敌人,70s,21→23,1,2.4s,"['820', '1066', '1333', '1667', '0']","['427', '594', '782', '954', '95']","['60', '80', '100', '123', '0']","['0', '0', '0', '0', '0']","[10, 14, 14]",2020年8月25日 16:00
刻刀,4,收割者,无法被友方角色治疗，攻击造成群体伤害，每攻击到一个敌人回复自身50生命，最大生效数等于阻挡数,70s,19→20→22,1→2→2,1.3s,"['1120', '1474', '1867', '2250', '0']","['297', '425', '552', '650', '75']","['215', '299', '384', '452', '0']","['0', '0', '0', '0', '0']","[4, 4, 4]",2020年9月24日 16:00
史都华德,5,神射手,优先攻击攻击范围内防御力最低的敌方单位,70s,19→21,1,2.7s,"['756', '982', '1228', '1536', '300']","['462', '643', '847', '1034', '40']","['75', '101', '127', '155', '0']","['0', '0', '0', '0', '0']","[12, 19, 19]",2020年9月24日 16:00
Friston-3,5,收割者,无法被友方角色治疗，攻击造成群体伤害，每攻击到一个敌人回复自身50生命，最大生效数等于阻挡数,70s,19→20→22,1→2→2,1.3s,"['1055', '1389', '1759', '2120', '250']","['306', '438', '569', '670', '40']","['216', '300', '385', '454', '0']","['0', '0', '0', '0', '0']","[4, 4, 4]",2020年9月24日 16:00
远山,6,医师,恢复友方单位生命,60s,16→18,1,2.85s,"['865', '1219', '1469', '1633', '0']","['210', '345', '493', '595', '0']","['59', '86', '108', '135', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2020年9月24日 16:00
夜莺,4,扩散术师,攻击造成群体法术伤害,70s,29→32,1,2.9s,"['629', '899', '1168', '1537', '300']","['324', '457', '587', '699', '0']","['52', '79', '109', '130', '0']","['10', '10', '15', '20', '0']","[7, 9, 9]",2020年10月15日 16:00
褐果,5,速射手,优先攻击空中单位,70s,11→13,1,1.0s,"['572', '818', '1049', '1280', '0']","['178', '298', '432', '528', '75']","['56', '94', '135', '160', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2020年10月15日 16:00
地灵,5,守护者,技能可以治疗友方单位,70s,18→20→22,2→3→3,1.2s,"['1309', '1769', '2268', '3150', '0']","['200', '287', '388', '485', '50']","['248', '365', '487', '595', '60']","['10', '10', '10', '10', '0']","[1, 1, 1]",2020年10月15日 16:00
布丁,6,剑豪,普通攻击连续造成两次伤害,80s,20→22→24,2,1.3s,"['1121', '1536', '1995', '2626', '0']","['253', '368', '478', '621', '40']","['135', '194', '253', '309', '40']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年10月15日 16:00
暴行,4,吟游者,不攻击，持续恢复范围内所有友军生命（每秒相当于自身攻击力10%的生命），自身不受鼓舞术语: 鼓舞获得额外附加的基础属性加成（同类属性取比例最高）※给予他人鼓舞效果的角色会将自身的鼓舞BUFF重写后适用于受益者（先最终乘算计算加成数值后，重写为最终加算，再将鼓舞赋予受益者）影响,80s,7→9,1,1.3s,"['482', '689', '945', '1260', '250']","['126', '198', '265', '320', '40']","['107', '160', '214', '268', '0']","['0', '0', '0', '0', '0']","[9, 13, 13]",2020年11月1日 16:00
焰影苇草,5,速射手,优先攻击空中单位，且不受部署数量限制，但再部署时间极长,200s,3,1,1.0s,"['396', '495', '——', '——', '100']","['137', '172', '——', '——', '45']","['32', '41', '——', '——', '0']","['0', '0', '——', '——', '0']",[10],2020年11月1日 16:00
赫拉格,6,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用,80s,12→14,1,1.0s,"['874', '1214', '1557', '2225', '0']","['238', '351', '468', '558', '70']","['168', '234', '305', '372', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年11月1日 16:00
芬,6,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%,70s,28→31,1,2.3s,"['1035', '1380', '1747', '2330', '0']","['327', '468', '604', '720', '65']","['100', '131', '166', '185', '0']","['0', '0', '0', '0', '0']","[5, 7, 7]",2020年11月1日 16:00
麒麟X夜刀,5,投掷手,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半），且不受部署数量限制，但再部署时间极长,200s,3,1,2.1s,"['414', '518', '——', '——', '100']","['220', '276', '——', '——', '30']","['40', '51', '——', '——', '0']","['0', '0', '——', '——', '0']",[12],2020年11月1日 16:00
帕拉斯,4,速射手,优先攻击空中单位,70s,10→12,1,1.0s,"['730', '1043', '1338', '1632', '0']","['163', '273', '391', '478', '65']","['36', '61', '88', '105', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2020年12月17日 16:00
特米米,5,斗士,能够阻挡一个敌人,70s,8→10,1,0.78s,"['1213', '1640', '2103', '2565', '0']","['218', '321', '429', '530', '75']","['151', '217', '294', '350', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2020年12月17日 16:00
远牙,5,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,16→18,2,1.3s,"['945', '1350', '1777', '2250', '0']","['263', '388', '518', '640', '55']","['162', '222', '282', '340', '0']","['5', '5', '10', '10', '0']","[7, 8, 8]",2020年12月17日 16:00
九色鹿,6,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%,70s,13→15,1,1.0s,"['811', '1159', '1486', '1813', '0']","['210', '309', '407', '497', '40']","['40', '68', '98', '117', '40']","['0', '0', '0', '0', '0']","[10, 12, 12]",2020年12月17日 16:00
末药,4,中坚术师,攻击造成法术伤害,70s,19→21,1,1.6s,"['657', '939', '1220', '1565', '0']","['302', '420', '553', '667', '90']","['48', '82', '114', '128', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2021年1月5日 16:00
角峰,5,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标,70s,18→20,0,3.5s,"['777', '1080', '1385', '1630', '0']","['378', '511', '656', '811', '60']","['141', '218', '284', '343', '30']","['10', '10', '20', '30', '0']","[10, 10, 10]",2021年1月5日 16:00
凯尔希,6,速射手,优先攻击空中单位,70s,11→13,1,1.0s,"['536', '767', '984', '1230', '0']","['178', '297', '438', '535', '75']","['45', '76', '109', '130', '0']","['5', '5', '5', '5', '0']","[10, 12, 12]",2021年1月5日 16:00
U-Official,5,处决者,不进行攻击，且不受部署数量限制，但再部署时间极长,200s,3,0,0.93s,"['1154', '1443', '——', '——', '0']","['208', '260', '——', '——', '90']","['354', '443', '——', '——', '0']","['50', '50', '——', '——', '0']",[9],2021年1月19日 16:00
炎熔,5,轰击术师,攻击造成超远距离的群体法术伤害,70s,30→33,1,2.9s,"['686', '980', '1273', '1572', '0']","['343', '484', '638', '760', '90']","['45', '77', '107', '120', '0']","['10', '10', '15', '20', '0']","[5, 6, 6]",2021年2月5日 16:00
吽,5,铁卫,能够阻挡三个敌人,70s,19→21→23,3,1.5s,"['1539', '2080', '2737', '3699', '400']","['295', '405', '513', '619', '0']","['254', '380', '529', '726', '70']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年2月5日 16:00
坚雷,6,要塞,不阻挡敌人时优先远程群体物理攻击,70s,23→25→27,2→3→3,2.8s,"['1203', '1605', '2140', '2983', '0']","['456', '585', '732', '882', '50']","['205', '306', '414', '568', '50']","['0', '0', '0', '0', '0']","[7, 7, 8]",2021年2月5日 16:00
能天使,6,召唤师,攻击造成法术伤害可以使用召唤物协助作战,70s,9→11,1,1.6s,"['480', '649', '843', '1068', '200']","['199', '285', '380', '443', '35']","['56', '80', '107', '130', '0']","['15', '15', '20', '20', '0']","[9, 10, 10]",2021年2月5日 16:00
罗宾,5,链术师,精英阶段0,70s,30→33,1,2.3s,"['654', '935', '1215', '1558', '0']","['311', '433', '571', '689', '85']","['49', '84', '116', '130', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2021年3月9日 16:00
深靛,5,驭法铁卫,技能开启时普通攻击会造成法术伤害,70s,21→23→25,3,1.6s,"['1234', '1691', '2255', '3090', '0']","['286', '403', '538', '649', '80']","['221', '325', '440', '550', '0']","['5', '5', '10', '15', '0']","[1, 1, 1]",2021年3月9日 16:00
蚀清,5,钩索师,技能可以使敌人产生位移可以放置于远程位,70s,10→12,2,1.8s,"['744', '1006', '1307', '1720', '0']","['313', '448', '582', '728', '0']","['142', '209', '276', '325', '60']","['0', '0', '0', '0', '0']","[3, 4, 4]",2021年3月9日 16:00
耀骑士临光,6,医师,恢复友方单位生命,70s,18→20,1,2.85s,"['865', '1219', '1469', '1633', '400']","['167', '274', '392', '490', '0']","['94', '137', '172', '215', '40']","['0', '0', '0', '0', '0']","[12, 13, 15]",2021年3月9日 16:00
